fsca_id,cihaz_id,kategori,konu,mevcut_asama,asama_no,sorumlu,baslangic,bitis,durum,fsn_deadline
FSCA-001,CIH-253,Anesthesia Machine,CO2 absorber alarm calibration; response delay corrected,Risk Assessment,4,Quality Manager E. Kaya,2025-12-07,2026-07-11,Active,2026-05-22
FSCA-002,CIH-251,Anesthesia Machine,CO2 absorber alarm calibration; response delay corrected,Implementation,4,Biomedical Eng. A. Yilmaz,2025-12-21,2026-06-13,In Progress,2026-05-11
FSCA-003,CIH-324,Bandage / Wound Dressing,Adhesive formula revision; skin compatibility improved,Closure,5,Quality Manager B. Demir,2025-12-27,2026-03-08,Closed,2026-02-06
FSCA-004,CIH-325,Bandage / Wound Dressing,Adhesive formula revision; skin compatibility improved,Implementation,4,Biomedical Eng. G. Arslan,2026-01-25,2026-04-06,In Progress,2026-03-30
FSCA-005,CIH-055,CT Scanner,Dose modulation software update; patient exposure reduced,Planning,3,Biomedical Eng. G. Arslan,2026-01-10,2026-07-20,In Progress,2026-06-12
FSCA-006,CIH-057,CT Scanner,Dose modulation software update; patient exposure reduced,Implementation,4,Risk Manager S. Arslan,2025-12-30,2026-07-15,In Progress,2026-06-08
FSCA-007,CIH-065,Cardiac Valve Prosthesis,Lot inspection; paravalvular leakage risk assessed,Risk Assessment,2,Quality Manager E. Kaya,2025-10-06,2026-04-23,In Progress,2026-04-16
FSCA-008,CIH-070,Cardiac Valve Prosthesis,Lot inspection; paravalvular leakage risk assessed,Closure,5,Quality Manager E. Kaya,2026-02-10,2026-03-12,Closed,2026-02-06
FSCA-009,CIH-082,Cochlear Implant,Battery life optimization; firmware v4.1 released,Signal Detection,1,Biomedical Eng. M. Celik,2025-10-04,2026-07-17,Open,2026-05-25
FSCA-010,CIH-083,Cochlear Implant,Battery life optimization; firmware v4.1 released,Signal Detection,1,Biomedical Eng. A. Yilmaz,2025-11-07,2026-06-23,Open,2026-05-21
FSCA-011,CIH-014,Defibrillator,Charging circuit software bug; resolved via firmware v2.3.1,Planning,3,Biomedical Eng. A. Yilmaz,2025-10-03,2026-04-26,In Progress,2026-04-19
FSCA-012,CIH-011,Defibrillator,Charging circuit software bug; resolved via firmware v2.3.1,Planning,3,Quality Manager E. Kaya,2026-01-20,2026-09-07,In Progress,2026-07-16
FSCA-013,CIH-178,ECG Monitor,CO2 absorber alarm calibration; response delay corrected,Closure,5,Biomedical Eng. G. Arslan,2025-12-12,2026-04-25,Closed,2026-02-26
FSCA-014,CIH-178,ECG Monitor,CO2 absorber alarm calibration; response delay corrected,Implementation,4,Biomedical Eng. G. Arslan,2025-12-02,2026-07-05,In Progress,2026-05-19
FSCA-015,CIH-240,ECMO System,CO2 absorber alarm calibration; response delay corrected,Planning,3,Biomedical Eng. A. Yilmaz,2026-01-25,2026-04-18,In Progress,2026-04-11
FSCA-016,CIH-233,ECMO System,CO2 absorber alarm calibration; response delay corrected,Implementation,4,Biomedical Eng. G. Arslan,2026-01-31,2026-08-18,In Progress,2026-07-01
FSCA-017,CIH-169,Electrosurgical Unit,CO2 absorber alarm calibration; response delay corrected,Closure,5,Biomedical Eng. M. Celik,2025-11-06,2026-04-24,Closed,2026-03-12
FSCA-018,CIH-164,Electrosurgical Unit,CO2 absorber alarm calibration; response delay corrected,Signal Detection,1,Biomedical Eng. G. Arslan,2025-11-20,2026-06-12,Open,2026-05-12
FSCA-019,CIH-276,Endoscope,Dezenfeksiyon protokolü güncellendi; biyofilm riski azaltıldı,Closure,5,Quality Manager T. Ozturk,2026-02-22,2026-03-23,Closed,2026-02-21
